gravite;heure;action;equipement;type
INFO;2013-06-09 18:20:29;Chauffage OFF;5;Chauffage
INFO;2013-06-09 18:20:39;Chauffage ON;5;Chauffage
INFO;2013-06-09 18:20:40;Chauffage OFF;5;Chauffage
INFO;2013-06-09 18:20:46;Chauffage ON;5;Chauffage
INFO;2013-06-09 18:20:51;Chauffage OFF;5;Chauffage
INFO;2013-06-09 18:20:55;Chauffage ON;5;Chauffage
SEVERE;2013-06-09 18:28:06;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:28:11;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:28:16;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:28:21;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:28:26;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:29:16;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:29:21;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:29:26;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:29:31;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:29:37;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:29:42;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:29:46;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:29:51;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:29:56;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:30:01;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:30:06;capteur débranché;5;Erreur Système
SEVERE;2013-06-09 18:33:02;capteur débranché;5;Erreur Système
RECOVERY;2013-06-09 18:34:47;capteur rebranché;5;Système OK
SEVERE;2013-06-09 18:35:02;capteur débranché;5;Erreur Système
RECOVERY;2013-06-09 18:35:11;capteur rebranché;5;Système OK
INFO;2013-06-09 18:36:57;Système OFF;5;OFF by User
INFO;2013-06-09 18:36:57;Système ON;5;ON by User
INFO;2013-06-09 18:36:58;Système OFF;5;OFF by User
INFO;2013-06-09 18:36:59;Système ON;5;ON by User
